window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
16,34,0.07717404089509143,2
16,35,0.07483648173584982,2
16,36,0.06934300079597124,3
16,37,0.07457410833400256,2
16,38,0.07052666631262426,3
16,39,0.06949990939723343,14
16,40,0.07196107384999656,2
16,41,0.07248786738901615,2
16,42,0.0753302179548056,2
16,43,0.07510156018975071,2
16,44,0.07509734303122607,2
16,45,0.07617979387278759,2
16,46,0.07511984784930144,3
16,47,0.07491642429216148,2
16,48,0.07920266299656555,3
16,49,0.08270849656054291,3
17,10,0.07234816710632021,2
17,11,0.07127826766296415,2
17,12,0.07050273021502848,2
17,13,0.07073270644835587,2
17,14,0.061680413834068366,24
17,15,0.059314867928316084,5
17,16,0.0685597389898596,2
17,17,0.06645349649865542,2
17,18,0.0661915398521396,2
17,19,0.06657231536864722,2
17,20,0.06647442025624821,2
17,21,0.06615024419661676,2
17,22,0.0662514121283812,21
17,23,0.06180964515137626,2
17,24,0.06532371971498059,2
17,25,0.06732900164714245,2
17,26,0.0681596424609898,2
17,27,0.06981023321026067,2
17,28,0.07110629590048341,2
17,29,0.0713333652370618,2
17,30,0.0717909353310709,2
17,31,0.07867591801975424,37
17,32,0.08479673533709024,2
17,33,0.07464555777207056,2
17,34,0.07417479345590669,2
17,35,0.06980076815906712,3
17,36,0.08302636680309781,39
17,37,0.07301517764557536,2
17,38,0.06985453412234569,3
17,39,0.0696370689326478,3
17,40,0.06779056270361697,6
17,41,0.07238092115320394,2
17,42,0.0706810108392163,2
17,43,0.07132149871447659,2
17,44,0.07361872059794597,3
17,45,0.07314618162799591,3
17,46,0.07608085104680433,3
17,47,0.0750351062821808,3
17,48,0.079222345084418,3
17,49,0.08319838653122295,3
18,10,0.06903437922131984,2
18,11,0.0680094242897013,2
18,12,0.06797431670666695,2
18,13,0.05689320279262861,2
18,14,0.0600901688368052,28
18,15,0.0670765860571557,2
18,16,0.06535718793613655,2
18,17,0.06212808260465608,11
18,18,0.06347829041350617,2
18,19,0.0632086622075093,2
18,20,0.06372490621460286,2
18,21,0.06423330831588514,15
18,22,0.05924331357351945,17
18,23,0.06364435076559276,2
18,24,0.06424811294315255,2
18,25,0.06535818237063322,2
18,26,0.06686516946331525,3
18,27,0.06678597022220703,2
18,28,0.06783833030557906,2
18,29,0.06975054223385328,2
18,30,0.0702407789100334,2
18,31,0.09110324591531994,2
18,32,0.07142999539697542,2
18,33,0.07190182700006359,2
18,34,0.07187021870254685,2
18,35,0.07158488215146035,2
18,36,0.07114061398712472,2
18,37,0.07830451885644132,2
18,38,0.0688211016872531,3
18,39,0.06986205550950687,2
18,40,0.0707250630430818,2
18,41,0.06627749548639546,40
18,42,0.06787790077088636,2
18,43,0.07028188239111825,2
18,44,0.0689480965632535,2
18,45,0.07238408282652428,3
18,46,0.07417929287357317,3
18,47,0.07365612992196371,3
18,48,0.07947420272912975,3
18,49,0.08118481772652547,3
19,10,0.06614000591566065,2
19,11,0.06529601004745314,2
19,12,0.06463030141368828,2
19,13,0.05409406873149807,2
19,14,0.06406196781526857,2
19,15,0.0648363809919344,2
19,16,0.06333518592126595,2
19,17,0.06190425348488979,2
19,18,0.05795809712773091,12
19,19,0.06090704615720231,2
19,20,0.05891538809541598,2
19,21,0.05638508278276402,5
19,22,0.056051061296871894,3
19,23,0.06154339125801314,2
19,24,0.061218056994536196,2
19,25,0.06139947342642585,2
19,26,0.06409764599350487,2
19,27,0.056161872588109535,2
19,28,0.06647445668563642,2
19,29,0.06694013562374497,2
19,30,0.09168727006382665,2
19,31,0.06708567706571737,2
19,32,0.06915141595309546,2
19,33,0.06365383865293091,3
19,34,0.06912846423573431,2
19,35,0.06760166057662616,2
19,36,0.10077649065472843,2
19,37,0.11725412157794754,2
19,38,0.0629179142689456,2
19,39,0.06764175987305228,2
19,40,0.06836637095496334,40
19,41,0.06726976499425127,3
19,42,0.06523119561198827,2
19,43,0.06719369783091171,2
19,44,0.07063114411905136,3
19,45,0.07179930555593833,3
19,46,0.0716983134180514,40
19,47,0.07352433723952909,3
19,48,0.0780779007663182,3
19,49,0.0803950303723892,3
